youtube.com,64.4 ms
instagram.com,6.34 ms
google.com,72.1 ms
mail.ru,123 ms
nsu.ru,3.44 ms
ya.ru,57.7 ms
ru.wikipedia.org,95.3 ms
geeksforgeeks.org,63.6 ms
discord.com,87.0 ms
docs.python.org,87.7 ms
