,name,Max диаметр сверления (металл),Max диаметр шурупа,Max крутящий момент ,Max размер крепежа,amount_of_reviews,description,Вес нетто,Длина кабеля,Зарядное устройство в комплекте,Количество аккумуляторов в комплекте,Мах диаметр сверления (бетон),Мах диаметр сверления (дерево),Мах диаметр сверления (кирпич),Мощность,Напряжение аккумулятора,Посадочный квадрат,Регулировка глубины завинчивания,Регулировка частоты вращения,Серия аккумулятора,Тип аккумулятора,Тип двигателя,Тип патрона,Упаковка,Частота вращения шпинделя
454,Аккумуляторная дрель-шуруповерт Вихрь ДА-18Л-2кУ 72/14/17,12 мм,,45 Нм,,125,2 аккумулятора – для длительной работы без перерывов на подзарядку,1.3 кг,,есть,,,30 мм,,,18 В,,,,,Li-Ion,,,,
455,"Аккумуляторная дрель-шуруповерт FAVOURITE li-ion, 21 в, 2 ач, 45 hm, 0-550/0-1550 об/мин, 20+1, бесщеточный двигатель, кейс в комплекте: зу, акб 2 ач one battery system OBS 21 DCNB",10 мм,,45 Нм,,5,,,,есть,,,36 мм,,,21 В,,,,,Li-Ion,,,,
456,Ударный аккумуляторный шуруповерт-винтоверт WORTEX CWR 0118 ALL1 0329286,,,160 Нм,,3,,1.1 кг,,есть,,,,,,18 В,,,,,Li-Ion,,,,
457,Аккумуляторный шуруповерт Crown bl CT21091HX-2 BMC,13 мм,,55 Нм,,6,,0.92 кг,,есть,,,40 мм,,,20 В,,,,,Li-Ion,,,,
458,Аккумуляторная дрель-шуруповерт Спец БДА-14.4-М СПЕЦ-3419,10 мм,,35 Нм,,20,,2.28 кг,,есть,,,25 мм,,,14.4 В,,,,,Li-Ion,,,,
459,Электрическая дрель-шуруповерт PARTNERTOOL PED-950/2,10 мм,,32 Нм,,24,,1.4 кг,,,,,20 мм,,950 Вт,,,есть,,,,,,,0-400/0-1500 об/мин
460,"Дрель-шуруповерт аккумуляторная ударная бесщеточная DEKO DKCID20 PRO, 20В, без АКБ и з/у 063-4457",13 мм,,,,,Max крутящий момент : 135 Нм,1.69 кг,,нет,,,50 мм,,,20 В,,,,,Li-Ion,,,,
461,Аккумуляторная дрель Elitech CD 20SL2 (E2201.040.02) HD 205718,13 мм,,65 Нм,,5,,1.1 кг,,есть,,,35 мм,,,20 В,,,,,Li-Ion,,,,
462,"Ударная аккумуляторная дрель-шуруповерт WORX 50 Нм, 20 В, без АКБ и ЗУ WX370.9",13 мм,,50 Нм,,13,,1 кг,,нет,,,40 мм,13 мм,,20 В,,,,,Li-Ion,,,,
463,Аккумуляторная дрель Elitech CD 20ISL2 (E2201.041.01) HD 205722,13 мм,,60 Нм,,7,,1.13 кг,,есть,,,35 мм,,,20 В,,,,,Li-Ion,,,,
464,Аккумуляторная дрель-шуруповерт Felisatti ДА-12ЭР 595.5.2.10,10 мм,,30 Нм,,11,,0.96 кг,,есть,,,12 мм,,,12 В,,,,,Li-Ion,,,,
