youtube.com,195 ms
instagram.com,Unreachable or something went wrong
google.com,208 ms
mail.ru,100 ms
nsu.ru,5.66 ms
ya.ru,59.1 ms
ru.wikipedia.org,89.2 ms
geeksforgeeks.org,60.2 ms
discord.com,52.5 ms
docs.python.org,86.4 ms
